L,89634.19415029777,43125.98677540943,5.0,89614.18575989247,43155.249046377176,25.849230389798173
A,89619.3385939583,43158.77235172133,6.242225521245609,-2.541848906620279,-5.792649723934924,25.849230389798173
L,89624.84474044543,43161.71305407286,25.849230389798173,89636.44509421836,43139.992648693136,25.94285236623747
C,7.0
A,89641.02586703244,43142.43913089583,5.193144976052416,-2.6510570703448617,0.5457302250748184,25.94285236623747
C,3.0
L,89645.46469991586,43145.134593263465,25.94285236623747,89630.81773441688,43169.25491966088,25.532998715359852
A,89619.428936567,43162.33912066075,13.324150714988482,0.545730225074856,0.8682074374995156,25.532998715359852
L,89628.03894437116,43172.507736981956,25.532998715359852,89623.3145880149,43176.5079611828,23.229614480190662
C,6.0
A,89626.005150061,43179.6855765529,4.163695901992929,-2.273385216089541,-4.034759922125785,23.229614480190662
L,89623.39473058004,43182.92935115939,23.229614480190662,89627.69142341605,43186.38710394541,21.355040439535088
A,89629.89753306241,43183.645735172235,3.5188098161587886,2.2484253850545994,1.047884235513097,21.355040439535088
L,89631.65484496868,43186.6943213013,21.355040439535088,89638.69603813895,43182.63553074442,24.566207774804013
A,89642.07700056226,43188.50082711543,6.7699784658184665,-2.0937084180755132,-1.2444192794484399,24.566207774804013
L,89644.24754666463,43182.08823496832,24.566207774804013,89656.57853706369,43186.26205150538,23.951331253689048
A,89657.99771235196,43182.0692853167,4.426437259443995,1.8971733741411558,-1.0209411419947858,23.951331253689048
L,89660.31080807153,43178.295303996674,23.951331253689048,89648.82528578164,43171.25575870141,22.193301511389677
A,89650.81128062855,43168.015465880635,3.80048327141552,2.1206515115956597,4.247888876005808,22.193301511389677
L,89649.10875560838,43164.6176604636,22.193301511389677,89655.07790778328,43161.62672081886,22.865933259868513
A,89658.15978233861,43167.77735586662,6.879553929257264,-2.0352964311734745,-0.5472397488424168,22.865933259868513
L,89664.03467387178,43164.19770340597,22.865933259868513,89666.58273226634,43168.37955258065,20.832666758675792
A,89669.44245748688,43166.63708255126,3.3487654651082974,2.594352904747571,0.5940521234006422,20.832666758675792
L,89672.21751050974,43168.51146534582,20.832666758675792,89677.71239942928,43160.37619641853,24.741106417090673
A,89669.59648315406,43154.89437906115,9.79379489911778,0.5940521234010337,-1.7797292634849224,24.741106417090673
L,89667.56509181975,43145.31357180013,24.741106417090673,89662.58105418527,43146.370323134826,26.543606618132642
A,89661.260813216,43140.14356906186,6.365178905746024,1.3618633901045276,3.208520846003622,26.543606618132642
L,89654.90988502643,43139.717877115676,26.543606618132642,89655.45306510339,43131.61413521092,29.187793212606213
A,89645.16118378888,43130.92428786013,10.314975053741483,0.06692819241346876,-1.8894264761255524,29.187793212606213
L,89641.92985327674,43121.12851257276,29.187793212606213,89638.19582837883,43122.360254648476,30.267905632607864
A,89640.41031438657,43129.0734668152,7.069028637225733,-1.8894264761259585,-2.5472207013211854,30.267905632607864
